iter	Passed	Remaining
0	177	176935
1	181	90489
2	184	61360
3	189	47092
4	192	38322
5	196	32537
6	199	28337
7	203	25179
8	207	22843
9	211	20903
10	214	19269
11	217	17919
12	221	16802
13	224	15833
14	228	14984
15	231	14235
16	235	13599
17	238	13024
18	242	12521
19	245	12048
20	249	11640
21	253	11262
22	256	10913
23	260	10597
24	264	10331
25	268	10051
26	271	9789
27	274	9537
28	278	9313
29	281	9093
30	284	8883
31	287	8687
32	290	8505
33	295	8409
34	298	8241
35	301	8081
36	304	7927
37	307	7788
38	310	7656
39	313	7528
40	316	7406
41	320	7310
42	323	7198
43	325	7074
44	327	6952
45	329	6833
46	331	6721
47	333	6608
48	334	6496
49	336	6387
50	337	6283
51	339	6184
52	340	6086
53	341	5988
54	342	5893
55	344	5801
56	345	5714
57	346	5629
58	347	5548
59	348	5466
60	349	5386
61	350	5308
62	351	5233
63	352	5160
64	353	5089
65	354	5020
66	355	4954
67	356	4883
68	357	4818
69	357	4755
70	358	4695
71	359	4636
72	360	4579
73	361	4522
74	362	4468
75	363	4414
76	363	4362
77	364	4311
78	365	4261
79	366	4212
80	367	4164
81	367	4118
82	368	4073
83	369	4029
84	370	3983
85	370	3941
86	371	3897
87	372	3857
88	373	3819
89	374	3781
90	374	3744
91	375	3708
92	377	3678
93	378	3644
94	378	3610
95	379	3576
96	380	3543
97	381	3510
98	382	3478
99	383	3447
100	383	3416
101	384	3383
102	385	3353
103	385	3324
104	386	3298
105	387	3271
106	388	3244
107	389	3217
108	390	3191
109	391	3166
110	392	3141
111	393	3116
112	393	3091
113	394	3068
114	395	3044
115	396	3020
116	397	2997
117	398	2976
118	398	2952
119	399	2930
120	400	2909
121	401	2888
122	401	2864
123	402	2844
124	403	2823
125	404	2803
126	405	2784
127	405	2762
128	406	2743
129	407	2725
130	408	2706
131	408	2688
132	409	2670
133	410	2653
134	411	2635
135	412	2618
136	412	2601
137	413	2584
138	414	2568
139	415	2551
140	416	2535
141	417	2520
142	417	2504
143	418	2489
144	419	2474
145	420	2459
146	421	2444
147	422	2429
148	422	2415
149	423	2401
150	424	2386
151	425	2372
152	426	2358
153	426	2345
154	427	2332
155	428	2318
156	429	2305
157	430	2292
158	430	2279
159	431	2266
160	432	2254
161	433	2242
162	434	2229
163	435	2217
164	435	2206
